id,RestID,Restaurant_Name,Address,Locality,City,Country_Code,Longitude,Latitude,Cuisines,Table_booking,Online_delivery,delv_now,order_menu,avg_cost,Currency,Price_range,Aggregate_rating,Rating_color,Rating_text,Votes
1,6317637,Le Petit Souffle,Third Floor-Century City Mall-Kalayaan Avenue-Poblacion-Makati City,Century City Mall-Poblacion-Makati City,Makati City,162,121.027535,14.565443,French- Japanese- Desserts,Yes,No,No,No,1100,Botswana Pula(P),3,4.8,Dark Green,Excellent,314
2,6304287,Izakaya Kikufuji,Little Tokyo-2277 Chino Roces Avenue-Legaspi Village-Makati City,Little Tokyo-Legaspi Village-Makati City,Makati City,162,121.014101,14.553708,Japanese,Yes,No,No,No,1200,Botswana Pula(P),3,4.5,Dark Green,Excellent,591
3,6300002,Heat - Edsa Shangri-La,Edsa Shangri-La-1 Garden Way-Ortigas-Mandaluyong City,Edsa Shangri-La-Ortigas-Mandaluyong City,Mandaluyong City,162,121.056831,14.581404,Seafood- Asian- Filipino- Indian,Yes,No,No,No,4000,Botswana Pula(P),4,4.4,Green,Very Good,270
4,6318506,Ooma,Third Floor-Mega Fashion Hall-SM Megamall-Ortigas-Mandaluyong City,SM Megamall-Ortigas-Mandaluyong City,Mandaluyong City,162,121.056475,14.585318,Japanese- Sushi,No,No,No,No,1500,Botswana Pula(P),4,4.9,Dark Green,Excellent,365
5,6314302,Sambo Kojin,Third Floor-Mega Atrium-SM Megamall-Ortigas-Mandaluyong City,SM Megamall-Ortigas-Mandaluyong City,Mandaluyong City,162,121.057508,14.58445,Japanese- Korean,Yes,No,No,No,1500,Botswana Pula(P),4,4.8,Dark Green,Excellent,229
6,18189371,Din Tai Fung,Ground Floor-Mega Fashion Hall-SM Megamall-Ortigas-Mandaluyong City,SM Megamall-Ortigas-Mandaluyong City,Mandaluyong City,162,121.056314,14.583764,Chinese,No,No,No,No,1000,Botswana Pula(P),3,4.4,Green,Very Good,336
7,6300781,Buffet 101,Building K-SM By The Bay-Sunset Boulevard-Mall of Asia Complex (MOA)-Pasay City,SM by the Bay-Mall of Asia Complex-Pasay City,Pasay City,162,120.9796667,14.53133333,Asian- European,Yes,No,No,No,2000,Botswana Pula(P),4,4,Green,Very Good,520
8,6301290,Vikings,Building B-By The Bay-Seaside Boulevard-Mall of Asia Complex (MOA)-Pasay City,SM by the Bay-Mall of Asia Complex-Pasay City,Pasay City,162,120.9793333,14.54,Seafood- Filipino- Asian- European,Yes,No,No,No,2000,Botswana Pula(P),4,4.2,Green,Very Good,677
9,6300010,Spiral - Sofitel Philippine Plaza Manila,Plaza Level-Sofitel Philippine Plaza Manila-CCP Complex-Pasay City,Sofitel Philippine Plaza Manila-Pasay City,Pasay City,162,120.98009,14.55299,European- Asian- Indian,Yes,No,No,No,6000,Botswana Pula(P),4,4.9,Dark Green,Excellent,621
10,6314987,Locavore,Brixton Technology Center-10 Brixton Street-Kapitolyo-Pasig City,Kapitolyo,Pasig City,162,121.056532,14.572041,Filipino,Yes,No,No,No,1100,Botswana Pula(P),3,4.8,Dark Green,Excellent,532
11,6309903,Silantro Fil-Mex,75 East Capitol Drive-Kapitolyo-Pasig City,Kapitolyo,Pasig City,162,121.057916,14.567689,Filipino- Mexican,No,No,No,No,800,Botswana Pula(P),3,4.9,Dark Green,Excellent,1070
12,6309455,Mad Mark's Creamery & Good Eats,23 East Capitol Drive-Kapitolyo-Pasig City,Kapitolyo,Pasig City,162,121.06082,14.570849,American- Ice Cream- Desserts,Yes,No,No,No,900,Botswana Pula(P),3,4.2,Green,Very Good,488
13,6318433,Silantro Fil-Mex,Second Floor-UP Town Center-Katipunan Avenue-Diliman-Quezon City,UP Town Center-Diliman-Quezon City,Quezon City,162,121.075419,14.649503,Filipino- Mexican,No,No,No,No,800,Botswana Pula(P),3,4.8,Dark Green,Excellent,294
14,6310470,Guevarra's,387 P. Guevarra Corner Argonne Street-Addition Hills-San Juan City,Addition Hills,San Juan City,162,121.0335917,14.59345,Filipino,Yes,No,No,No,1000,Botswana Pula(P),3,4.2,Green,Very Good,458
15,6314605,Sodam Korean Restaurant,17 J. Abad Santos Drive-Little Baguio-San Juan City,Little Baguio,San Juan City,162,121.03811,14.59889,Korean,No,No,No,No,700,Botswana Pula(P),3,4.3,Green,Very Good,223
16,18185059,Cafe Arabelle,Ayala Mall-Solenad-Nuvali-Santa Rosa -Tagaytay Road-Don Jose-Santa Rosa,Nuvali-Don Jose-Santa Rosa,Santa Rosa,162,121.05704,14.237082,Cafe- American- Italian- Filipino,No,No,No,No,800,Botswana Pula(P),3,3.6,Yellow,Good,29
17,18182702,Nonna's Pasta & Pizzeria,Ground Floor-Building G-Solenad 3-Nuvali-Don Jose-Santa Rosa,Solenad 3-Don Jose-Santa Rosa,Santa Rosa,162,121.0565874,14.23767897,Italian- Pizza,No,No,No,No,850,Botswana Pula(P),3,4,Green,Very Good,72
18,6318213,Balay Dako,Aguinaldo Highway-Tagaytay City,Tagaytay City,Tagaytay City,162,120.951589,14.101834,Filipino,Yes,No,No,No,1200,Botswana Pula(P),3,4.5,Dark Green,Excellent,211
19,18255654,Hobing Korean Dessert Cafe,Third Floor-BGC Stopover Pavillion-Rizal Drive Corner 31st Street-Bonifacio Global City-Taguig City,BGC Stopover Pavillion-Bonifacio Global City,Taguig City,162,121.045878,14.55436,Cafe- Korean- Desserts,No,No,No,No,600,Botswana Pula(P),2,4.5,Dark Green,Excellent,118
20,6308205,Wildflour Cafe + Bakery,Ground Floor-Netlima Building-4th Avenue Corner 26th Street-Bonifacio Global City-Taguig City,Bonifacio Global City,Taguig City,162,121.04622,14.549337,Cafe- Bakery- American- Italian,Yes,No,No,No,1500,Botswana Pula(P),4,4.4,Green,Very Good,392
21,6315438,NIU by Vikings,Sixth Floor-SM Aura Premier-C5 Road Corner 26th Street-Bonifacio Global City-Taguig City,SM Aura Premier-Bonifacio Global City-Taguig City,Taguig City,162,121.053725,14.545858,Seafood- American- Mediterranean- Japanese,Yes,No,No,No,3000,Botswana Pula(P),4,4.7,Dark Green,Excellent,535
22,6310406,The Food Hall by Todd English,Fifth Floor-SM Aura Premier-C5 Corner 26th Street-Bonifacio Global City-Taguig City,SM Aura Premier-Bonifacio Global City-Taguig City,Taguig City,162,121.0534998,14.54565535,American- Asian- Italian- Seafood,Yes,No,No,No,1800,Botswana Pula(P),4,4.5,Dark Green,Excellent,618
23,6600681,Chez Michou,SCLN-208-Bloco A-Loja 30-Asa Norte-Brasí_lia,Asa Norte,Brasí_lia,30,-47.88178889,-15.76414167,Fast Food- French,No,No,No,No,55,Brazilian Real(R$),2,3,Orange,Average,6
24,6601005,Cafí© Daniel Briand,SCLN 104-Bloco A-Loja 26-Asa Norte-Brasí_lia,Asa Norte,Brasí_lia,30,-47.88266667,-15.7775,Cafe,No,No,No,No,30,Brazilian Real(R$),1,3.8,Yellow,Good,9
25,6600292,Casa do Biscoito Mineiro,SCLN 210-Bloco D-Loja 36/48-Asa Norte-Brasí_lia,Asa Norte,Brasí_lia,30,-47.88213611,-15.75747222,Bakery,No,No,No,No,45,Brazilian Real(R$),2,3.7,Yellow,Good,11
26,6600441,Maori,CLN 110-Bloco D-Loja 28-Asa Norte-Brasí_lia,Asa Norte,Brasí_lia,30,-47.88816667,-15.75883333,Brazilian,No,No,No,No,60,Brazilian Real(R$),3,3.8,Yellow,Good,11
