Football_Year,Countries,Football Winner,Football Runners-Up,QualifiedTeams,MatchesPlayed,Attendance
1975,West Indies,Australia,England,24000,8,18
1979,West Indies,England,England,32000,8,18
1983,India,West Indies,England,30000,8,18
1987,Australia,England,"India, Pakistan",95000,8,18
1992,Pakistan,England,"Australia, New Zealand",87182,9,20
1996,Sri Lanka,Australia,"India, Pakistan, Sri Lanka",62645,12,26
1999,Australia,Pakistan,"England, Wales, Ireland, Scotland, Netherlands",30000,12,26
2003,Australia,India,"Kenya, South Africa, Zimbabwe",32827,14,30
2007,Australia,Sri Lanka,West Indies,28108,16,34
2011,India,Sri Lanka,"Bangladesh, India, Sri Lanka",65000,14,30
2015,Australia,New Zealand,"Australia, New Zealand",93013,14,30
